transaction_id,customer_id,amount,transaction_type,location_country,channel,time_of_day,txn_frequency_30d,account_age_days,customer_risk_band
TXN00000,CUST007,4692.68,Crypto,Germany,ATM,Morning,16,496,Low
TXN00001,CUST005,1053.33,NEFT,Germany,POS,Night,14,901,Low
TXN00002,CUST017,12312.5,IMPS,USA,Web,Morning,19,1245,Medium
TXN00003,CUST014,48551.15,SWIFT,India,Mobile,Morning,16,282,Medium
TXN00004,CUST003,5655.37,IMPS,India,ATM,Afternoon,12,1735,Low
TXN00005,CUST004,477.9,Crypto,Germany,Web,Morning,9,1929,Low
TXN00006,CUST005,7220.29,SWIFT,Germany,Mobile,Night,16,1872,Low
TXN00007,CUST008,11403.96,NEFT,Germany,ATM,Night,14,630,Low
TXN00008,CUST007,33706.3,IMPS,USA,Web,Morning,19,594,Low
TXN00009,CUST019,2625.26,Crypto,Nigeria,Mobile,Night,12,1481,Low
TXN00010,CUST015,6835.47,IMPS,Singapore,POS,Morning,12,1055,Low
TXN00011,CUST002,5536.56,RTGS,Singapore,POS,Morning,11,1530,Medium
TXN00012,CUST005,34928.07,RTGS,UAE,ATM,Morning,21,845,Low
TXN00013,CUST007,3953.28,IMPS,USA,Mobile,Afternoon,16,1755,Low
TXN00014,CUST012,3935.32,SWIFT,India,Mobile,Night,14,1106,Low
TXN00015,CUST011,8837.05,Crypto,India,Web,Afternoon,25,522,Low
TXN00016,CUST018,1518.98,NEFT,UAE,POS,Morning,19,1892,Low
TXN00017,CUST003,5506.09,RTGS,India,ATM,Night,14,1116,Medium
TXN00018,CUST014,16898.97,NEFT,Germany,Mobile,Night,17,318,Low
TXN00019,CUST016,9313.03,RTGS,Nigeria,Web,Night,22,1081,Low
TXN00020,CUST020,19885.3,NEFT,UAE,POS,Afternoon,16,1101,Low
TXN00021,CUST016,4633.35,Crypto,USA,ATM,Morning,17,713,Low
TXN00022,CUST019,10148.89,SWIFT,UAE,POS,Night,21,642,Low
TXN00023,CUST019,35653.21,RTGS,India,Mobile,Morning,12,824,High
TXN00024,CUST019,7396.79,SWIFT,Germany,ATM,Morning,14,1514,Low
TXN00025,CUST015,2252.95,Crypto,UAE,Mobile,Morning,21,1050,Medium
TXN00026,CUST003,7104.37,NEFT,UAE,Web,Night,21,778,High
TXN00027,CUST016,7761.83,RTGS,Nigeria,POS,Night,16,1849,Low
TXN00028,CUST009,26549.5,IMPS,UAE,ATM,Night,19,675,Medium
TXN00029,CUST003,6097.89,SWIFT,Germany,Web,Night,11,1384,Medium
TXN00030,CUST016,3920.73,RTGS,UAE,Web,Night,10,219,Medium
TXN00031,CUST019,1165.92,NEFT,USA,POS,Afternoon,12,657,High
TXN00032,CUST001,4347.43,RTGS,India,POS,Night,13,1464,Low
TXN00033,CUST003,5402.73,SWIFT,UAE,Mobile,Night,11,713,Low
TXN00034,CUST019,2798.8,NEFT,India,Web,Afternoon,11,1525,Low
TXN00035,CUST014,12140.87,NEFT,Singapore,Web,Night,25,1439,Low
TXN00036,CUST006,12457.35,NEFT,Nigeria,Mobile,Afternoon,14,1789,Medium
TXN00037,CUST014,23888.61,RTGS,India,Mobile,Morning,12,1737,Medium
TXN00038,CUST014,5938.14,Crypto,UAE,Mobile,Night,16,1492,Low
TXN00039,CUST002,14338.88,IMPS,Singapore,ATM,Morning,12,309,Medium
TXN00040,CUST014,6354.46,IMPS,India,ATM,Night,10,493,Low
TXN00041,CUST019,416.3,Crypto,India,ATM,Morning,16,432,Low
TXN00042,CUST004,12418.46,IMPS,Singapore,POS,Morning,19,1764,Low
TXN00043,CUST015,1916.04,Crypto,Nigeria,POS,Afternoon,17,367,High
TXN00044,CUST009,18183.71,RTGS,Germany,ATM,Morning,17,1999,Medium
TXN00045,CUST012,25861.9,RTGS,Germany,Web,Night,20,1817,Low
TXN00046,CUST019,1923.17,IMPS,India,Web,Afternoon,20,1286,High
TXN00047,CUST011,4295.68,RTGS,Germany,Web,Afternoon,17,1473,Medium
TXN00048,CUST006,22882.31,SWIFT,Germany,ATM,Afternoon,16,539,Low
TXN00049,CUST001,28156.37,SWIFT,UAE,Mobile,Afternoon,27,907,Medium
TXN00050,CUST014,7956.98,RTGS,India,Web,Night,17,1734,Low
TXN00051,CUST016,1934.94,SWIFT,UAE,ATM,Night,11,1445,Medium
TXN00052,CUST010,18919.56,Crypto,Nigeria,Web,Morning,17,489,Low
TXN00053,CUST008,7109.33,IMPS,India,Web,Night,17,1723,Low
TXN00054,CUST018,36123.09,NEFT,Singapore,Web,Morning,14,1336,Low
TXN00055,CUST003,5698.58,IMPS,UAE,Mobile,Afternoon,13,908,Low
TXN00056,CUST005,6782.93,Crypto,UAE,Web,Morning,11,688,Low
TXN00057,CUST018,8486.42,IMPS,Germany,Mobile,Morning,18,1225,Medium
TXN00058,CUST008,28210.83,NEFT,Nigeria,ATM,Afternoon,13,309,Low
TXN00059,CUST015,4015.98,Crypto,Singapore,ATM,Night,16,729,High
TXN00060,CUST020,19173.87,NEFT,India,Web,Morning,12,1214,Low
TXN00061,CUST006,3811.46,SWIFT,Nigeria,Web,Afternoon,11,1788,Low
TXN00062,CUST001,18592.66,Crypto,USA,POS,Morning,22,655,Low
TXN00063,CUST006,9545.31,RTGS,USA,Mobile,Morning,15,814,Medium
TXN00064,CUST012,18882.91,Crypto,Singapore,Web,Afternoon,10,1092,Low
TXN00065,CUST005,3475.62,IMPS,India,POS,Night,15,714,Medium
TXN00066,CUST006,2160.11,NEFT,Nigeria,Mobile,Night,8,683,Low
TXN00067,CUST019,22073.23,NEFT,Germany,POS,Night,13,863,High
TXN00068,CUST011,5770.97,Crypto,India,POS,Morning,17,1751,Low
TXN00069,CUST013,7822.95,RTGS,UAE,Mobile,Morning,12,1395,High
TXN00070,CUST007,2880.17,SWIFT,India,Mobile,Night,15,293,Low
TXN00071,CUST016,14696.48,IMPS,USA,Web,Afternoon,11,1249,High
TXN00072,CUST002,18453.06,IMPS,Germany,Web,Morning,11,896,Low
TXN00073,CUST011,10145.37,SWIFT,Singapore,Mobile,Night,15,686,Low
TXN00074,CUST015,5088.62,SWIFT,Germany,POS,Morning,14,1399,Low
TXN00075,CUST019,256.78,SWIFT,USA,Web,Afternoon,17,1111,Low
TXN00076,CUST012,24676.22,IMPS,Singapore,Mobile,Morning,14,1171,Low
TXN00077,CUST017,12538.49,SWIFT,Nigeria,Mobile,Night,17,1325,Low
TXN00078,CUST012,7271.1,SWIFT,USA,Web,Night,17,890,Medium
TXN00079,CUST001,5440.38,IMPS,UAE,ATM,Afternoon,12,1026,Medium
TXN00080,CUST013,1280.2,RTGS,Nigeria,ATM,Afternoon,13,1100,Medium
TXN00081,CUST014,415.81,IMPS,Germany,POS,Morning,15,461,Medium
TXN00082,CUST009,16446.14,SWIFT,Singapore,POS,Afternoon,13,386,Low
TXN00083,CUST004,5083.37,RTGS,Nigeria,POS,Morning,16,831,Low
TXN00084,CUST012,3023.13,SWIFT,USA,ATM,Afternoon,15,545,Low
TXN00085,CUST011,9567.25,IMPS,India,ATM,Afternoon,20,881,Medium
TXN00086,CUST002,8567.82,NEFT,Nigeria,Web,Night,14,1982,Low
TXN00087,CUST013,16670.89,SWIFT,Nigeria,ATM,Afternoon,19,1630,Low
TXN00088,CUST015,32490.92,IMPS,Nigeria,POS,Morning,21,426,Medium
TXN00089,CUST020,2415.48,NEFT,UAE,Mobile,Night,13,783,Medium
TXN00090,CUST011,11488.75,IMPS,Nigeria,POS,Morning,8,1975,Low
TXN00091,CUST014,11444.9,SWIFT,UAE,ATM,Night,13,1956,Medium
TXN00092,CUST019,1257.5,RTGS,India,POS,Afternoon,17,442,Low
TXN00093,CUST015,399.75,RTGS,Germany,ATM,Night,15,949,Low
TXN00094,CUST015,16442.09,Crypto,India,POS,Afternoon,13,1717,Low
TXN00095,CUST010,20182.83,IMPS,India,Mobile,Night,16,1748,Low
TXN00096,CUST020,13897.85,IMPS,Germany,Web,Night,18,1326,Medium
TXN00097,CUST011,7642.73,IMPS,India,Web,Afternoon,15,426,Medium
TXN00098,CUST003,22587.91,NEFT,Singapore,Mobile,Morning,14,1286,Medium
TXN00099,CUST018,18782.53,RTGS,USA,POS,Afternoon,17,1559,Low
TXN00100,CUST006,9992.3,IMPS,Nigeria,ATM,Night,14,1078,Low
TXN00101,CUST020,8067.71,SWIFT,Singapore,ATM,Night,18,1746,Low
TXN00102,CUST006,6820.5,SWIFT,USA,Mobile,Night,7,1186,Medium
TXN00103,CUST018,13357.36,NEFT,Nigeria,ATM,Night,15,780,Medium
TXN00104,CUST016,1543.08,RTGS,Nigeria,Web,Morning,18,1306,Medium
TXN00105,CUST017,18231.31,SWIFT,Nigeria,Mobile,Afternoon,14,1446,Low
TXN00106,CUST010,17251.86,SWIFT,UAE,Web,Night,17,1218,High
TXN00107,CUST006,2655.66,NEFT,USA,POS,Morning,16,1395,Medium
TXN00108,CUST009,16755.75,NEFT,USA,ATM,Morning,18,1468,Low
TXN00109,CUST009,6571.37,SWIFT,Nigeria,Mobile,Night,13,743,Medium
TXN00110,CUST003,23682.38,Crypto,UAE,Web,Night,9,682,Low
TXN00111,CUST016,5195.34,IMPS,UAE,ATM,Morning,16,485,Low
TXN00112,CUST005,1250.26,NEFT,USA,ATM,Morning,17,377,Medium
TXN00113,CUST003,32747.2,NEFT,UAE,Mobile,Morning,13,853,Medium
TXN00114,CUST015,7515.61,Crypto,USA,Web,Morning,14,714,Low
TXN00115,CUST006,35025.27,RTGS,Nigeria,POS,Morning,8,1585,High
TXN00116,CUST014,784.31,IMPS,India,Mobile,Afternoon,11,1196,Low
TXN00117,CUST001,6061.28,SWIFT,USA,Mobile,Afternoon,16,685,Medium
TXN00118,CUST011,13359.84,SWIFT,Singapore,POS,Afternoon,7,1461,Low
TXN00119,CUST018,9679.33,Crypto,USA,Mobile,Afternoon,12,119,Low
TXN00120,CUST016,4914.62,SWIFT,Singapore,ATM,Afternoon,12,898,Low
TXN00121,CUST017,36649.6,IMPS,Germany,Mobile,Night,15,1777,Low
TXN00122,CUST019,9232.7,SWIFT,UAE,Mobile,Morning,12,1600,Low
TXN00123,CUST010,17289.95,NEFT,USA,Web,Morning,23,1868,Low
TXN00124,CUST013,25154.88,RTGS,Germany,ATM,Morning,16,1045,Low
TXN00125,CUST008,4723.48,RTGS,USA,POS,Morning,10,92,Medium
TXN00126,CUST013,4992.09,Crypto,India,POS,Afternoon,19,1982,High
TXN00127,CUST002,6324.16,SWIFT,USA,POS,Afternoon,14,852,Low
TXN00128,CUST009,20004.26,IMPS,Germany,Mobile,Morning,20,1131,Low
TXN00129,CUST011,2294.7,SWIFT,Germany,Mobile,Afternoon,12,1825,Medium
TXN00130,CUST009,2596.04,IMPS,Germany,POS,Afternoon,17,1401,Low
TXN00131,CUST010,3128.94,Crypto,India,ATM,Night,15,1359,Low
TXN00132,CUST018,19117.7,NEFT,Nigeria,Web,Morning,16,1787,Low
